altitude,temperature,pressure,density,speed_of_sound,viscosity
[m],[Kelvin],[pascal],[kg/m3],[m/s],[Pa.s]
491,284.958,95563.9,1.16829,338.404,1.80E-05
492,284.952,95552.5,1.16818,338.4,1.80E-05
493,284.945,95541,1.16806,338.397,1.80E-05
494,284.939,95529.5,1.16795,338.393,1.80E-05
495,284.933,95518.1,1.16784,338.389,1.80E-05
496,284.926,95506.6,1.16772,338.385,1.80E-05
497,284.919,95495.2,1.16761,338.381,1.80E-05
498,284.913,95483.7,1.1675,338.377,1.80E-05
499,284.906,95472.3,1.16738,338.373,1.80E-05
500,284.9,95460.8,1.16727,338.37,1.80E-05
501,284.893,95449.4,1.16716,338.366,1.80E-05
502,284.887,95437.9,1.16704,338.362,1.80E-05
503,284.88,95426.5,1.16693,338.358,1.80E-05
504,284.874,95415.1,1.16682,338.354,1.80E-05
505,284.867,95403.6,1.1667,338.35,1.80E-05
506,284.861,95392.2,1.16659,338.346,1.80E-05
507,284.854,95380.7,1.16648,338.343,1.80E-05
508,284.848,95369.3,1.16636,338.339,1.80E-05
509,284.841,95357.9,1.16625,338.335,1.80E-05
510,284.835,95346.4,1.16614,338.331,1.80E-05
511,284.828,95335,1.16602,338.327,1.80E-05
512,284.822,95323.6,1.16591,338.323,1.80E-05
513,284.815,95312.1,1.1658,338.319,1.80E-05
514,284.809,95300.7,1.16568,338.316,1.80E-05
515,284.802,95289.3,1.16557,338.312,0.000017953
516,284.796,95277.8,1.16546,338.308,1.80E-05
